Capítulo,PERSONAGEM CENTRAL,LOCALIZAÇÃO,CONTEXTO,ENSINAMENTO PRINCIPAL,MANIFESTAÇÕES MIRACULOSAS,DIÁLOGO PRINCIPAL,ASSEMBLEIA PRESENTE,PROGRESSÃO ESPIRITUAL,TRANSIÇÃO,ELEMENTOS ÚNICOS
CAPÍTULO 19: SAMANTANETRA,"Samantanetra, um mestre vendedor de perfumes que transcende sua profissão, atuando como um curandeiro compassivo que integra a cura do corpo e da mente.","Uma loja de perfumes na cidade de Samantamukha, na terra de Vetramūlaka.","Sudhana encontra Samantanetra em sua loja, onde ele não apenas vende perfumes, mas aplica um profundo conhecimento de fragrâncias e medicina para curar todos os tipos de doenças (físicas, mentais e espirituais).","O portal do Dharma chamado ""as formas de perfume que satisfazem todos os seres"". Samantanetra domina o conhecimento de todos os perfumes e suas propriedades curativas. Ele ensina que a verdadeira compaixão começa com a cura do sofrimento físico. Após curar os doentes, ele lhes oferece ensinamentos do Dharma perfeitamente adaptados para purificar suas aflições mentais (desejo, raiva, ignorância). Seu conhecimento também se estende a perfumes sagrados que, quando usados como oferenda, podem alcançar e honrar todos os budas do universo.","A principal manifestação é o poder de seus perfumes. A partir de um único tipo de incenso sagrado, ele pode manifestar nuvens de oferendas — como palácios, pavilhões, estandartes e luzes de perfume — que preenchem todo o reino do Dharma, alcançando todos os budas. Ele também demonstra a capacidade de curar qualquer doença, seja ela causada por desequilíbrios físicos, venenos, ou aflições mentais.","Samantanetra explica a Sudhana seu método holístico: ele primeiro cura as doenças físicas, depois satisfaz as necessidades materiais e, finalmente, ensina o Dharma de forma personalizada. Por exemplo, para aqueles com desejo, ele ensina sobre a impureza; para os com raiva, ele ensina sobre o amor. Ele também detalha como seu conhecimento sobre os perfumes lhe permite fazer oferendas a todos os budas, demonstrando a interconexão entre o mundano e o sagrado.","Pacientes e seres de todas as dez direções que vêm em busca de cura. Após serem curados e satisfeitos materialmente, eles se tornam a assembleia que recebe os ensinamentos do Dharma, mostrando uma transformação direta de sofredores em discípulos.","Sudhana aprende que a compaixão prática e o conhecimento especializado (neste caso, a perfumaria e a medicina) são portais poderosos para a conduta do bodhisattva. Ele compreende que cuidar das necessidades imediatas dos seres é o primeiro passo para guiá-los no caminho espiritual.","Samantanetra, com humildade, diz que seu conhecimento se limita a este portal dos perfumes e da cura, e não se compara à sabedoria dos grandes bodhisattvas que são como ""reis da medicina"". Ele direciona Sudhana para a cidade de Tāladhvaja para encontrar seu próximo guia, o rei Anala.","- Integração da Medicina e do Dharma: O capítulo oferece um exemplo único de como uma profissão secular (médico/perfumista) pode ser um caminho espiritual completo.; - Cura Holística: O método de três etapas de Samantanetra (cura física, satisfação material, ensinamento espiritual) é uma demonstração de compaixão pragmática.; - Perfumes como Veículo de Realização: O uso de fragrâncias não apenas para cura, mas como um meio de fazer oferendas universais aos budas, é um elemento distintivo."
CAPÍTULO 20: ANALA,"O Rei Anala, um monarca que governa a cidade de Tāladhvaja e personifica o uso de meios hábeis (upāya) aparentemente severos.","A cidade de Tāladhvaja, especificamente na sala do trono do rei e, posteriormente, em seu palácio.","Sudhana encontra o Rei Anala presidindo um cenário de punições terríveis. Ele testemunha executores de aparência demoníaca mutilando e matando criminosos, o que o enche de repulsa. Ele duvida que tal rei, engajado em atos que parecem violar os princípios de um bodhisattva, possa ser um verdadeiro kalyāṇamitra.","A liberação do bodhisattva chamada a ""realização de ilusões"" (attainment of illusions). O ensinamento central é que a compaixão pode se manifestar de formas paradoxais. Anala revela que todas as execuções e sofrimentos são meras ilusões, criadas por ele como um meio hábil para chocar e dissuadir seus súditos de cometerem os dez atos não-virtuosos. Ele ensina que um bodhisattva pode usar a compreensão da natureza ilusória dos fenômenos para guiar os seres de maneiras não convencionais.","A principal manifestação é a criação de ilusões hiper-realistas: executores, criminosos, e os atos de violência. O contraste entre a cena horrível das punições e a magnificência do palácio do rei — para onde ele leva Sudhana depois — serve para acentuar a natureza ilusória da experiência.","O capítulo se desenrola em uma sequência dramática:; 1.  Sudhana testemunha a violência e duvida do rei.; 2.  Devas aparecem no céu, repreendendo Sudhana por duvidar e o lembrando que a sabedoria e os meios hábeis de um bodhisattva são inconcebíveis.; 3.  Sudhana, arrependido, aproxima-se do rei e pede o ensinamento.; 4.  O Rei Anala o leva para seu palácio e revela que tudo era uma ilusão, explicando que ele nunca faria mal a nenhum ser e que usa essas manifestações para guiar seu povo para longe do mal e estabelecê-los no caminho da onisciência.",A assembleia inicial é composta por dez mil ministros e os executores e criminosos ilusórios. Uma assembleia de devas também intervém do céu para guiar Sudhana.,Sudhana aprende uma lição fundamental sobre não julgar pelas aparências e sobre a natureza complexa dos meios hábeis (upāya). Ele compreende que a compaixão de um bodhisattva pode transcender as noções convencionais de bem e mal. Sua fé nos kalyāṇamitras é testada e fortalecida.,"O Rei Anala humildemente admite que só conhece esta liberação através das ilusões e direciona Sudhana para a cidade de Suprabha para encontrar seu próximo guia, o Rei Mahāprabha.",Meios Hábeis Paradoxais: O uso chocante da violência ilusória para ensinar a não-violência.; O Teste da Fé: A dúvida de Sudhana é um momento crucial que o força a olhar além das aparências superficiais.; Intervenção Divina: A aparição dos devas para corrigir a percepção de Sudhana destaca a importância da fé e da orientação no caminho.
CAPÍTULO 21: MAHĀPRABHA,"O Rei Mahāprabha, um monarca que governa a radiante cidade de Suprabha.","A cidade de Suprabha, descrita como uma utopia de magnificência inconcebível, com sete fossos de joias, sete muralhas de diamantes, e milhões de palácios e pavilhões celestiais.","Sudhana entra na cidade mais espetacular de sua jornada e encontra o Rei Mahāprabha, que governa não pela força, mas através do poder transformador do amor universal. Ele representa a liderança iluminada que cria uma sociedade harmoniosa.","A conduta do bodhisattva chamada o ""estandarte do grande amor"" e o samādhi correspondente, ""exercer poder sobre o mundo através da motivação de grande amor"". Mahāprabha ensina que o amor incondicional é a força mais poderosa para governar e transformar a sociedade. Seu método consiste em primeiro satisfazer todas as necessidades materiais de seus súditos e, em seguida, guiá-los para o Dharma, eliminando as causas do conflito e do sofrimento.","Quando o rei entra em seu samādhi, toda a cidade treme em seis direções, e uma onda de felicidade pura percorre todos os seres. A compaixão do rei é tão poderosa que pacifica até mesmo os animais selvagens e os seres demoníacos (rākṣasas e yakṣas), que abandonam sua natureza violenta. Oferendas celestiais chovem dos céus, e todos os habitantes do reino, desde os humanos até as árvores e rios, se curvam em reverência.","Mahāprabha explica a Sudhana que ele governa através do amor, não da punição. Ele demonstra seu poder entrando em samādhi, o que causa uma transformação universal de paz e felicidade. Ele ensina que, ao cuidar das necessidades dos seres e estabelecer uma base de amor, ele os guia naturalmente para o caminho da iluminação.","Toda a população da cidade de Suprabha, que é composta por bodhisattvas que praticam o Mahāyāna. A cidade inteira funciona como uma assembleia viva, com oferendas ilimitadas disponíveis gratuitamente em todas as ruas para qualquer um que precise, incluindo quintilhões de donzelas prontas para serem doadas.","Sudhana testemunha o poder supremo do amor como uma força de transformação social e espiritual. Ele aprende que a verdadeira liderança não se baseia em controle, mas em compaixão, e que um ambiente de generosidade e harmonia é o terreno mais fértil para o despertar espiritual.","Mahāprabha, como os outros, admite que seu conhecimento se limita a este portal do grande amor. Ele direciona Sudhana para a cidade de Sthirā para encontrar seu próximo guia, a upāsikā Acalā, movendo o foco da liderança masculina para a sabedoria feminina.","- Sociedade Baseada no Amor: O capítulo oferece uma visão detalhada e prática de como uma sociedade inteira pode ser governada e transformada unicamente através do amor e da compaixão. - Resposta da Natureza: A manifestação do samādhi do rei afeta não apenas os seres sencientes, mas também a própria natureza, com rios, montanhas e árvores respondendo à sua compaixão. - Generosidade Ilimitada: As oferendas infinitas e gratuitas disponíveis para todos na cidade demonstram uma economia baseada na abundância e no desapego."
CAPÍTULO 22: ACALĀ,"A upāsikā Acalā, uma jovem praticante leiga de beleza e pureza transcendentes, que vive em um ambiente familiar.",A cidade de Sthirā.,"Sudhana encontra Acalā na casa de seus pais. Sua presença é tão pura que a própria casa emana uma luz dourada que concede samādhis a Sudhana ao simples contato. Sua beleza e a fragrância de seu corpo superam as de todos os seres nos reinos do desejo, exceto os budas e bodhisattvas consagrados, e nenhum ser consegue olhá-la com desejo.","Acalā ensina a liberação chamada ""a essência da sabedoria difícil de alcançar"" (the essence of the wisdom that is difficult to attain) e o samādhi da ""busca incansável pelo Dharma"" (the display of the tireless search for the Dharma). Seu ensinamento central é sobre a força de uma aspiração inicial inabalável. Ela narra como, em uma vida passada há incontáveis kalpas, a visão do Buda Pralambabāhu a inspirou a desenvolver uma motivação tão poderosa que, desde então, ela nunca mais teve um pensamento de desejo, raiva, ou ego, nem mesmo em sonhos ou no estado entre vidas.","A principal manifestação é a sua própria pureza, que transforma o ambiente e os seres ao seu redor. Ao entrar em samādhi, ela revela a Sudhana incontáveis reinos búdicos e a sucessão de budas, demonstrando o poder de sua mente purificada. Sua realização não é ostensiva, mas uma demonstração da perfeição interna que irradia naturalmente.","Em resposta à pergunta de Sudhana, Acalā conta a história de sua aspiração original e detalha como, por incontáveis kalpas, ela manteve uma prática imaculada, nunca se esquecendo de um único ensinamento, nunca deixando de praticar uma única conduta de bodhisattva e nunca se desviando para os veículos inferiores. Ela demonstra o poder de sua realização através de uma visão meditativa.","Embora esteja em um ambiente doméstico, sua assembleia é composta por seres que são atraídos e purificados por sua simples presença. A cena enfatiza que a realização pode florescer em qualquer contexto, não apenas em mosteiros isolados.","Sudhana aprende sobre o poder da continuidade e da pureza na prática espiritual. Acalā é a personificação da dedicação inabalável ao longo de eras, mostrando que uma única aspiração, quando mantida com perfeita pureza, leva a uma realização inconcebível. Ele entende que a verdadeira força não está em feitos externos, mas na pureza interna mantida ao longo do tempo.","Acalā humildemente afirma que só conhece esta liberação da sabedoria difícil de alcançar e direciona Sudhana para a terra de Amitatosala para encontrar seu próximo guia, o parivrājaka (asceta errante) Sarvagamin, movendo o foco da sabedoria cultivada na estabilidade para aquela praticada em movimento.","- Pureza Transcendental em um Contexto Comum: Acalā demonstra o mais alto nível de pureza espiritual vivendo em uma casa de família, desafiando a noção de que a realização requer reclusão.; - O Poder da Aspiração Inicial: Sua história enfatiza como uma única e poderosa aspiração, feita no passado distante, pode moldar e purificar incontáveis vidas futuras.; - Continuidade da Prática: Ela é um exemplo da prática ininterrupta ao longo de kalpas, sem nunca vacilar ou regredir, destacando a importância da perseverança."
CAPÍTULO 23: SARVAGAMIN,"O parivrājaka (asceta errante) Sarvagamin, cujo nome significa ""Aquele que Vai a Todos os Lugares"".","O topo da colina Sulabha, perto da cidade de Tosala, na terra de Amitatosala.","Ao anoitecer, Sudhana encontra Sarvagamin no topo de uma colina brilhante, sendo reverenciado por dez mil brâmanes que o circum-ambulam. Ele representa a realização que não está fixa em um lugar, mas se manifesta em toda parte para beneficiar os seres.","A conduta do bodhisattva ""onipresente"" e o samādhi da ""luz da prática de todos os portais"". Sarvagamin ensina que sua prática é ir a todos os lugares, manifestando-se em formas perfeitamente adaptadas para guiar todos os tipos de seres, desde aqueles que aspiram ao Mahāyāna até os seguidores das 96 diferentes visões heréticas, levando cada um ao seu próprio nível de amadurecimento.","A principal manifestação é sua onipresença. Enquanto está fisicamente no topo da colina, ele simultaneamente aparece em todos os vilarejos, cidades, mercados e encruzilhadas de Jambudvīpa (e, por extensão, de todos os reinos), ensinando o Dharma de uma forma que cada ser acredita estar recebendo um ensinamento pessoal e exclusivo. Seu corpo físico brilha com uma luz que supera a de Mahābrahmā.","Sarvagamin explica a Sudhana que ele beneficia todos os seres através de métodos variados. Ele pode ensinar os ofícios mundanos para alguns, os quatro meios de reunir discípulos para outros, e as perfeições para aqueles mais avançados. Ele ensina de uma forma que parece pessoal e direta para cada indivíduo, sem que eles saibam de onde ele veio.","Embora fisicamente acompanhado por dez mil brâmanes, sua verdadeira assembleia é universal e invisível, composta por todos os seres em todos os reinos que ele está simultaneamente beneficiando através de suas emanações.","Sudhana aprende que a conduta de um bodhisattva pode transcender as limitações de tempo e espaço. Ele compreende que a verdadeira compaixão é onipresente, adaptando-se perfeitamente às necessidades de cada ser individualmente, em todos os lugares ao mesmo tempo.","Sarvagamin, com humildade, afirma que seu conhecimento, embora onipresente, é apenas um portal. Ele direciona Sudhana para a terra de Pṛthurāṣṭra para encontrar seu próximo guia, o vendedor de perfumes Utpalabhūti, movendo o foco da onipresença para o conhecimento especializado.","- Onipresença como Prática: O capítulo explora a ideia de uma prática espiritual que não está confinada a um local, mas que se manifesta simultaneamente em todos os lugares.; - Ensino Adaptativo Universal: A habilidade de Sarvagamin de ensinar a todos os seres de forma personalizada e simultânea é uma demonstração de compaixão e sabedoria supremas.; - Trabalho com Heréticos: A menção específica de seu trabalho com seguidores de visões heréticas destaca a natureza inclusiva e não-sectária da compaixão do bodhisattva."
CAPÍTULO 24: UTPALABHŪTI,Jayottama - comerciante chefe em assembleia cívica,"Floresta de árvores ashoka chamada Vicitra dhvaja, na periferia de Nandihāra",Sudhana encontra Jayottama cercado por milhares de chefes de família discutindo deveres cívicos. Ele representa a realização através da liderança social e administração pública esclarecida.,"-   Portal para conduta bodhisattva ""onipresente""; -   Poderes milagrosos não-compostos baseados na ausência de existência; -   Ensino do Dharma para eliminar toda forma de ego e apego; -   Aplicação universal de ensinamentos adaptados a diferentes reinos",-   Presença simultânea em incontáveis reinos de existência; -   Ensino adaptado a todos os tipos de seres; -   Transformação social através de liderança espiritual; -   Pacificação de conflitos em escala universal,-   Sudhana apresenta-se formalmente e expressa aspirações; -   Jayottama explica sua conduta onipresente; -   Descrição detalhada de ensino em múltiplos reinos; -   Reconhecimento das limitações do próprio conhecimento,-   Milhares de chefes de família decidindo deveres cívicos; -   Representantes de todos os reinos de existência beneficiados; -   Seres humanos e não-humanos recebendo ensinamentos adaptados; -   Comunidade engajada em questões sociais e espirituais,-   Integração de responsabilidades cívicas com realização espiritual; -   Liderança através da eliminação de ego e apego; -   Desenvolvimento de visão universal e compaixão prática; -   Harmonização entre vida social e prática bodhisattva,-   Direcionamento para Kaliṅgavana em Śroṇāparānta; -   Encontro com bhikṣuṇī Siṃha vijṛmbhitā; -   Movimento da liderança secular para vida monástica feminina; -   Preparação para ensinamentos sobre eliminação de orgulho,-   Ênfase na responsabilidade cívica como prática espiritual; -   Demonstração de liderança social esclarecida; -   Integração de questões mundanas com dharma; -   Presença onipresente como ideal de serviço público
CAPÍTULO 24: UTPALABHŪTI,"Utpalabhūti, um mestre comerciante de perfumes.",A terra de Pṛthurāṣṭra.,"Sudhana encontra Utpalabhūti, um especialista que conhece a fundo todos os tipos de fragrâncias e seus efeitos transformadores. Ele representa o conhecimento especializado aplicado com maestria para o benefício espiritual dos seres.","O conhecimento de todos os perfumes e suas propriedades. Utpalabhūti ensina como as fragrâncias podem ser usadas para curar doenças, dissipar estados mentais negativos e induzir experiências espirituais. Ele conhece perfumes específicos para cada propósito, desde gerar felicidade mundana até inspirar a lembrança dos budas e a renúncia ao desejo.","Utpalabhūti descreve os efeitos miraculosos de perfumes específicos. Por exemplo, o perfume ""essência de elefante"" que, com uma única partícula, pode perfumar um reino inteiro e fazer chover flores douradas. Outro, o sândalo ""gośīrṣa"", torna o corpo imune ao fogo. O perfume ""invencível"" pode derrotar exércitos apenas com o som de um tambor perfumado com ele. Ele também conhece fragrâncias que podem manifestar exércitos celestiais ou induzir estados de samādhi.","Utpalabhūti cataloga para Sudhana uma vasta gama de perfumes e seus usos. Ele explica como usa seu conhecimento para curar, pacificar e, finalmente, guiar os seres para o Dharma, demonstrando como uma habilidade mundana, quando dominada, se torna um meio hábil para o despertar.","A assembleia é composta por todos os seres da terra de Pṛthurāṣṭra que se beneficiam dos perfumes de Utpalabhūti, experimentando cura, felicidade e transformação espiritual através do poder das fragrâncias.","Sudhana aprende que o conhecimento técnico e a especialização em uma área mundana, quando combinados com a compaixão, podem ser um caminho poderoso para a iluminação. Ele vê como os estímulos sensoriais podem ser usados para purificar a mente e prepará-la para ensinamentos mais profundos.","Utpalabhūti, reconhecendo os limites de seu conhecimento especializado, direciona Sudhana para a cidade de Kūṭāgāra para encontrar seu próximo guia, o marinheiro Vaira. A jornada se move do conhecimento terrestre e sutil dos perfumes para a navegação nos vastos e perigosos oceanos.","- Conhecimento Enciclopédico: Utpalabhūti possui um conhecimento extraordinariamente detalhado e técnico sobre uma vasta gama de perfumes e suas aplicações, mostrando a profundidade que pode ser alcançada em qualquer campo.; - Estímulos Sensoriais como Caminho: O capítulo explora o uso de um sentido — o olfato — como um portal direto para a transformação mental e espiritual.; - Perícia Mundana como Dharma: A maestria de Utpalabhūti em sua profissão é inseparável de sua prática espiritual, demonstrando que qualquer atividade pode se tornar um caminho para o despertar."
CAPÍTULO 25: VAIRA,,,,,,,,,,
CAPÍTULO 25: VAIRA,"Vaira, um mestre marinheiro.",A cidade costeira de Kūṭāgāra.,"Sudhana encontra Vaira na costa, rodeado por uma multidão de cem mil comerciantes. Ele não está apenas ensinando sobre navegação, mas usando as metáforas do oceano para revelar as profundezas do Dharma.","A conduta do bodhisattva chamada o ""estandarte da grande compaixão"" e a liberação de ""lembrar de permanecer com audição e visão frutíferas"". Vaira ensina que, assim como ele guia os comerciantes com segurança para as ilhas de tesouros materiais, ele também guia todos os seres através do perigoso oceano do saṃsāra para a ""ilha de joias"" da onisciência. Seu conhecimento abrange tanto os perigos físicos do mar (redemoinhos, monstros) quanto os perigos espirituais (apego, ignorância).","A principal manifestação é sua habilidade infalível como navegador. Nenhum navio sob seu comando jamais sofreu um acidente. Sua maestria é tal que a simples audição de seus ensinamentos protege os seres do medo de ""afundar"" no oceano do saṃsāra e os direciona para a sabedoria.","Vaira explica a Sudhana seu profundo conhecimento da navegação, desde a leitura das estrelas até a previsão dos ventos e o conhecimento de todos os tesouros e perigos do oceano. Ele então usa cada um desses elementos como uma analogia para a jornada espiritual: os tesouros são as qualidades dos budas; os redemoinhos, as visões errôneas; e as ondas, as aflições. Ele guia os seres para a riqueza material apenas para poder guiá-los para a riqueza espiritual.","Uma vasta multidão de cem mil comerciantes e centenas de milhares de outras pessoas que se reúnem na costa para ouvir suas histórias e buscar sua orientação, tanto para viagens físicas quanto espirituais.","Sudhana aprende que qualquer profissão, mesmo uma perigosa como a de marinheiro, pode ser um veículo para a prática da compaixão universal. Ele compreende que um verdadeiro guia (kalyāṇamitra) é como um capitão experiente, essencial para navegar com segurança pelos perigos do ciclo de renascimentos e alcançar a iluminação.","Vaira, com humildade, diz que seu conhecimento se limita à navegação nos oceanos do mundo e do Dharma. Ele direciona Sudhana para a cidade de Nandihāra para encontrar seu próximo guia, o comerciante chefe Jayottama, movendo a jornada do mar para o coração da vida cívica e comercial.","- Metáfora da Navegação: O capítulo utiliza de forma brilhante a navegação como uma metáfora completa para a jornada espiritual, com seus perigos, tesouros e a necessidade de um guia experiente.; - Profissão Perigosa como Caminho: Demonstra como uma profissão arriscada e secular pode ser um campo de prática para a mais profunda compaixão e sabedoria.; - Guia Duplo: Vaira atua como um guia tanto no nível mundano (levando a tesouros) quanto no supramundano (levando à iluminação), mostrando a interconexão dos dois."
CAPÍTULO 26: JAYOTTAMA,"Jayottama, um chefe comerciante e líder cívico.","Uma floresta de árvores ashoka chamada Vicitra Dhvaja, na periferia da cidade de Nandihāra.","Sudhana encontra Jayottama no meio de uma assembleia cívica, rodeado por milhares de chefes de família. Eles estão discutindo os deveres cívicos, e Jayottama usa essa oportunidade para ensinar o Dharma. Ele representa a figura do líder social esclarecido, que integra a responsabilidade cívica com a prática espiritual.","O portal para a conduta de bodhisattva ""onipresente"" (omnipresent). A realização de Jayottama se baseia em ""milagres não-compostos baseados na ausência de existência"", o que lhe permite estar presente e ensinar simultaneamente em todos os reinos de existência. Seu ensinamento principal é a eliminação de todas as formas de ego, possessividade e apego como o caminho para a paz e a harmonia social.","A principal manifestação é sua onipresença. Enquanto está fisicamente na floresta, ele ensina simultaneamente nos paraísos celestiais, nos mundos dos nāgas, yakṣas, asuras, e em todos os vilarejos e cidades do mundo humano. Ele pacifica conflitos, previne guerras e guia todos os tipos de seres, desde os devas até os pretas, adaptando perfeitamente seus ensinamentos a cada um.","Após Sudhana apresentar-se formalmente e expressar suas vastas aspirações, Jayottama explica sua conduta onipresente. Ele detalha como ensina o Dharma em múltiplos reinos de existência para erradicar o sofrimento e guiar os seres para longe das ações não-virtuosas. Ele ensina sobre a criação e destruição dos mundos, os defeitos do saṃsāra e as qualidades da onisciência.","A assembleia é multifacetada. Fisicamente, ele está com milhares de chefes de família. No entanto, sua verdadeira assembleia é universal, composta por todos os seres nos incontáveis reinos onde ele se manifesta, incluindo devas, nāgas, humanos e até mesmo seres nos reinos infernais, cada um recebendo um ensinamento adaptado à sua condição.","Sudhana aprende que a responsabilidade cívica e a liderança social não são separadas da prática espiritual, mas podem ser uma poderosa expressão dela. Ele testemunha como um bodhisattva pode usar sua sabedoria para criar harmonia e guiar uma sociedade inteira, operando em uma escala universal para o benefício de todos.","Jayottama, com humildade, admite que seu conhecimento se limita a este portal da conduta onipresente. Ele direciona Sudhana para a cidade de Kaliṅgavana, na terra de Śroṇāparānta, para encontrar seu próximo guia: a bhikṣuṇī (monja) Siṃha Vijṛmbhitā, movendo o foco da liderança secular masculina para a vida monástica feminina.",Responsabilidade Cívica como Caminho Espiritual: O capítulo enfatiza a importância do engajamento social e da liderança esclarecida como uma forma de prática de bodhisattva.; Liderança Onipresente: A habilidade de Jayottama de governar e ensinar em todos os reinos simultaneamente é um ideal de serviço público e compaixão universal.; Integração do Mundano e do Sagrado: O cenário de uma assembleia cívica se torna o palco para um ensinamento profundo sobre a natureza da realidade e o caminho para a iluminação.
CAPÍTULO 27: SIṂHA VIJṚMBHITĀ,A bhikṣuṇī (monja) Siṃha Vijṛmbhitā.,"O Parque Sūrya Prabha na cidade de Kaliṅgavana, na terra de Śroṇāparānta. O parque é uma manifestação miraculosa da realização da monja, descrito com uma magnificência que supera os paraísos celestiais, com árvores de joias, lagos perfumados e tronos especificamente preparados para cada tipo de ser.",Sudhana encontra Siṃha Vijṛmbhitā ensinando o Dharma para uma assembleia imensa e perfeitamente estratificada. Ela representa a maestria pedagógica e a realização que transcende completamente o orgulho.,"A liberação do bodhisattva chamada a ""erradicação de todo orgulho"". A partir desta realização, ela alcançou o samādhi da ""concordância com todos os Dharmas"". Seu ensinamento central é que a verdadeira sabedoria é não-conceitual e livre de ego. Apesar de suas habilidades miraculosas e conhecimento vasto, ela não se apega ao conceito de ""seres"" que ensina, aos ""Dharmas"" que ouve, ou aos ""Budas"" que vê, permanecendo sem arrogância.","A manifestação mais proeminente é sua capacidade de ensinar simultaneamente a inumeráveis grupos distintos, cada um recebendo um ensinamento perfeitamente adaptado ao seu nível espiritual. O próprio parque é um milagre. Quando Sudhana a circum-ambula, ela preenche todo o parque com luz e ele a percebe como estando sempre à sua frente. Além disso, ela descreve como, através de seu samādhi, ela viaja mentalmente para fazer oferendas a todos os budas e bodhisattvas em suas últimas vidas através dos dez direções.","Após se maravilhar com a cena, Sudhana pede instrução. Siṃha Vijṛmbhitā revela o nome de sua liberação e explica que seu escopo é a capacidade de interagir com todos os seres e todos os budas sem gerar o menor traço de orgulho. Ela demonstra que a mais alta realização é humilde e desprovida de auto-importância.","A assembleia é a mais diversificada e estratificada até agora, organizada por níveis hierárquicos. Inclui devas dos céus mais altos aos reinos do desejo, todos os tipos de seres não-humanos (nāgas, yakṣas, etc.), e praticantes de todos os três veículos (Śrāvaka, Pratyekabuddha, Mahāyāna), incluindo bodhisattvas em cada um dos dez bhūmis, cada grupo recebendo um ensinamento específico.","Sudhana aprende uma lição crucial sobre a natureza da verdadeira maestria espiritual: ela não é apenas poderosa, mas também perfeitamente humilde e desprovida de ego. Ele testemunha a perfeição pedagógica, onde um único mestre pode guiar incontáveis seres simultaneamente, adaptando a mensagem a cada um.","Siṃha Vijṛmbhitā admite humildemente que conhece apenas esta liberação. Ela então direciona Sudhana para a cidade de Ratnavyūha, na terra de Durga, para encontrar seu próximo guia: a cortesã Vasumitrā. Esta transição chocante, da monja pura para a cortesã, serve para quebrar radicalmente as noções preconcebidas de Sudhana sobre onde a sabedoria pode ser encontrada.","Ensino Estratificado: O mais claro exemplo de ensinamento simultâneo e adaptado a múltiplos níveis espirituais.; Erradicação do Orgulho: O ensinamento foca diretamente na eliminação do orgulho espiritual, um obstáculo sutil e poderoso.; Perfeição Pedagógica Feminina: Uma representação forte de uma monja como uma mestra do Dharma consumada.; A Transição Chocante: A indicação de uma cortesã como a próxima kalyāṇamitra é um ponto de virada dramático, projetado para desafiar as convenções."
CAPÍTULO 28: VASUMITRĀ,A cortesã Vasumitrā.,"A cidade de Ratnavyūha, na terra de Durga.","Sudhana procura por Vasumitrā e encontra uma divisão na opinião pública. Aqueles que não conhecem sua verdadeira natureza o julgam, questionando por que um jovem puro buscaria uma cortesã. Aqueles que conhecem suas qualidades o parabenizam, sabendo que ele está no caminho certo para a iluminação. Ele a encontra em uma casa de magnificência indescritível, com uma beleza que supera a de todos os seres do reino do desejo.","A liberação do bodhisattva chamada a ""realização completa da liberdade do desejo"". Vasumitrā ensina através da transformação direta. Usando sua beleza e formas de contato físico como meios hábeis (upāya), ela guia todos os que se aproximam dela, dominados pelo desejo, para um estado de completo desapego.","Sua principal manifestação é a capacidade de transformar o desejo em iluminação através do contato. Dependendo do nível de interação, os seres atingem diferentes samādhis:; A simples visão dela leva à liberdade do desejo e ao samādhi da ""alegria"".; Segurar sua mão leva ao samādhi de ""ir e residir em todos os reinos búdicos"".; Abraçá-la leva ao samādhi de ""reunir e não abandonar todos os seres"".; Beijá-la leva ao samādhi de ""tocar o tesouro do mérito de todos os seres"".; Cada interação é um portal para um nível mais profundo de desapego e realização.","Após a pergunta de Sudhana, Vasumitrā explica sua liberação. Ela narra que a semente para esta habilidade foi plantada em uma vida passada, quando ela era a esposa de um comerciante e, junto com ele, fez uma simples oferenda a um Buda do passado, Atyuccagāmin. Naquela ocasião, Mañjuśrī, o mesmo guia inicial de Sudhana, a inspirou a desenvolver a aspiração pela iluminação.","A assembleia é composta por todos os seres — devas, nāgas, humanos e outros — que vêm até ela consumidos pelo desejo. Após a interação, eles são transformados e estabelecidos no caminho do não-apego, tornando-se uma assembleia de praticantes.","Sudhana aprende uma das lições mais radicais da sua jornada: que a compaixão e a sabedoria podem se manifestar nas formas mais inesperadas e controversas. Ele entende que a verdadeira pureza não está na evitação, mas na capacidade de transformar até mesmo o mais poderoso dos venenos (o desejo) em néctar.","Vasumitrā, com humildade, afirma que seu conhecimento se limita a este portal da transformação do desejo. Ela direciona Sudhana para a cidade de Śubhapāraṃgama para encontrar seu próximo guia, o chefe de família Veṣṭhila, que faz oferendas a um santuário de um Tathāgata. A jornada se move da transformação do desejo para a prática da devoção.","Uso Paradoxal da Profissão: O uso de uma profissão altamente controversa, a de cortesã, como o mais elevado meio hábil para ensinar o desapego.; Transformação Através do Contato: A liberação não é ensinada verbalmente, mas transmitida através do contato físico, cada nível de intimidade correspondendo a um samādhi mais profundo.; Crítica Social: O capítulo aborda diretamente o preconceito e o julgamento social, mostrando como as aparências podem enganar e como a verdadeira sabedoria transcende as convenções.; A Semente do Passado: A conexão de sua habilidade atual com um ato meritório simples em uma vida passada, inspirado pelo mesmo Mañjuśrī."
